img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.bet9ja.com/,5357,14660.0,,,,,
https://www.bet9ja.com/img/desktop/welcome-bonus.png,731121,728953.0,66734.0,65010.0,61632.0,58254.0,54966
https://www.bet9ja.com/img/desktop/arrow-right-black.png,508,259.0,120.0,120.0,120.0,120.0,120
https://www.bet9ja.com/img/desktop/logo-02.png,4399,4132.0,2188.0,2180.0,2170.0,2158.0,2142
https://www.bet9ja.com/img/desktop/payment.png,10642,10366.0,3332.0,3180.0,2994.0,2840.0,2666
https://www.bet9ja.com/img/desktop/eighteen.png,2096,1839.0,678.0,652.0,626.0,588.0,560
https://www.bet9ja.com/img/desktop/facebook.png,2490,2233.0,920.0,884.0,824.0,784.0,712
https://www.bet9ja.com/img/desktop/twitter.png,2526,2269.0,876.0,846.0,784.0,734.0,654
https://certify.alexametrics.com/atrk.gif?frame_height=933&frame_width=1844&iframe=0&title=Bet9ja%20Nigeria%20Sport%20Betting%2CPremier%20League%20Odds%2CCasino%2CBet&time=1648195081822&time_zone_offset=-300&screen_params=1920x1080x24&java_enabled=0&cookie_enabled=1&ref_url=&host_url=https%3A%2F%2Fwww.bet9ja.com%2F&random_number=7276808030&sess_cookie=f08dfbc917fc015165c8191ced8&sess_cookie_flag=1&user_cookie=f08dfbc917fc015165c8191ced8&user_cookie_flag=1&dynamic=true&domain=bet9ja.com&account=/5f9l1aQeSI14B&jsv=20130128&user_lang=en-US,552,43.0,,,,,
https://www.facebook.com/tr/?id=1905516222795124&ev=PageView&dl=https%3A%2F%2Fwww.bet9ja.com%2F&rl=&if=false&ts=1648195081920&sw=1920&sh=1080&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1648195081916.886783204&it=1648195081440&coo=false&rqm=GET,411,44.0,,,,,
https://a.mgid.com/1x1.gif?id=650400&type=c&tg=&r=https%3A%2F%2Fwww.bet9ja.com%2F&utmc=0&utmt=0&nv=1&utms=&utmcp=&utmm=&clid=&cmgid=0&cmtid=0&cmtuid=0&d=1648195082245,397,43.0,,,,,
https://www.facebook.com/tr/?id=1905516222795124&ev=Microdata&dl=https%3A%2F%2Fwww.bet9ja.com%2F&rl=&if=false&ts=1648195083427&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Bet9ja%20Nigeria%20Sport%20Betting%2CPremier%20League%20Odds%2CCasino%2CBet%22%2C%22meta%3Adescription%22%3A%22Nigeria%20number%20one%20betting%20website.%20Visit%20Bet9ja%20for%20high%20odds%20on%20soccer%20and%20the%20best%20live%20betting%20service.Deposit%20fast%20and%20play%20on%20Racing%2CCasino%20and%20Virtuals%22%2C%22meta%3Akeywords%22%3A%22Bet9ja%2CNigeria%2CSport%20Betting%2CSport%2COdds%2CRacing%2CCasino%2CLive%2CSoccer%2CBonus%2CPremier%20league%2Cwin%2Clive%20betting%2Cmobile%2Cdeposit%2Cfootball%2C9ja%2Cbetting%20website%2Clivescore%2Cpredict%22%7D&cd[OpenGraph]=%7B%7D&cd[Schema.org]=%5B%5D&cd[JSON-LD]=%5B%5D&sw=1920&sh=1080&v=2.9.57&r=stable&ec=1&o=30&fbp=fb.1.1648195081916.886783204&it=1648195081440&coo=false&es=automatic&tm=3&rqm=GET,91,44.0,,,,,
https://api.feedad.com/1.1/web/usersyncs?b=8461718b-151b-486e-8ea2-a9b349f07f98&u=0588fcc7-adab-43a6-9fdc-17f1a5220466,313,42.0,,,,,
https://tags.feedad.com/1/usersyncs?b=8461718b-151b-486e-8ea2-a9b349f07f98&u=0588fcc7-adab-43a6-9fdc-17f1a5220466,313,42.0,,,,,
https://eb2.3lift.com/xuid?ld=1&mid=7963&xuid=0588fcc7-adab-43a6-9fdc-17f1a5220466&dongle=3oy7&gdpr=0&cmp_cs=&us_privacy=,354,37.0,,,,,
