img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.indiatimes.com/,115763,672563.0,,,,,
https://im.indiatimes.in/content/2022/Mar/Indiatimes_623181e2f0407.jpg,9058,9421.0,6356.0,6004.0,5588.0,5092.0,4510
https://im.indiatimes.in/content/2022/Jan/272951251_7782576431767746_2517511222855774656_n_61f7946e6c976.jpg?w=32&h=32&cc=1&q=75,1140,909.0,430.0,416.0,384.0,350.0,314
https://im.indiatimes.in/content/2021/Apr/Untitled-design---2021-04-27T185213650_60880fc2ea774.jpg?w=32&h=32&cc=1&q=75,1075,662.0,408.0,394.0,372.0,340.0,304
https://im.indiatimes.in/content/2022/Jan/intro_61e258b2dce02.JPG?w=32&h=32&cc=1&q=75,1145,908.0,428.0,416.0,382.0,348.0,312
https://im.indiatimes.in/content/2022/Jan/intro_61f4c2d8d2af4.JPG?w=32&h=32&cc=1&q=75,1208,954.0,510.0,490.0,446.0,408.0,376
https://im.indiatimes.in/content/2021/Sep/intro_6142c93d082a2.JPG?w=32&h=32&cc=1&q=75,1153,911.0,460.0,440.0,410.0,374.0,338
https://im.indiatimes.in/content/2022/Mar/277076946_548810866418390_3357246870275303086_n_623ad70dc445e.jpg?w=32&h=32&cc=1&q=75,1113,880.0,400.0,388.0,350.0,326.0,300
https://im.indiatimes.in/content/2022/Mar/273905384_3103185843334040_1141370739219604878_n_6229e8d45c861.jpg?w=32&h=32&cc=1&q=75,1087,862.0,356.0,346.0,314.0,290.0,270
https://im.indiatimes.in/content/2022/Feb/274626462_495551615284023_3755818053502145960_n_621c5ccd58f7a.jpg?w=32&h=32&cc=1&q=75,1258,845.0,362.0,352.0,322.0,292.0,266
https://im.indiatimes.in/content/2022/Mar/Melting-Earth-copy_6239c18e4b385.jpg?w=32&h=14&cc=1&q=75,1120,707.0,210.0,206.0,190.0,176.0,162
https://im.indiatimes.in/content/2022/Mar/Two-Year-Old-Boy-Gives-Adorable-Pep-Talk-To-Eight-Month-Old-Baby-Sister_623c788da458d.jpg?w=32&h=18&cc=1&q=75,1213,801.0,286.0,274.0,256.0,236.0,210
https://im.indiatimes.in/content/2022/Mar/277247479_5035373126541841_8808629452636469014_n_623c59cd2d188.jpg?w=32&h=18&cc=1&q=75,1219,806.0,280.0,270.0,248.0,226.0,210
https://im.indiatimes.in/content/2022/Mar/UK-Man-Arrested-After-500-Stolen-Bikes-Are-Found-In-His-Garden_623c556147fe3.jpg?w=32&h=18&cc=1&q=75,1211,798.0,262.0,248.0,236.0,216.0,200
https://im.indiatimes.in/content/2022/Mar/afp1_62307704edf8d.jpg?w=32&h=18&cc=1&q=75,1253,840.0,348.0,326.0,312.0,292.0,260
https://im.indiatimes.in/content/2022/Mar/Untitled-design-49_623c7a330f8bb.jpg?w=32&h=18&cc=1&q=75,1266,853.0,378.0,360.0,340.0,316.0,288
https://im.indiatimes.in/content/2022/Mar/Image1_623c3edf27632.jpg?w=32&h=18&cc=1&q=75,1195,782.0,282.0,272.0,252.0,232.0,210
https://im.indiatimes.in/content/2022/Mar/iStock-1311273317_6238432c254d1.jpg?w=32&h=18&cc=1&q=75,1255,842.0,340.0,324.0,306.0,288.0,256
https://im.indiatimes.in/content/2022/Mar/mmt-echor-bhramara-estate_6232ca0183b14.jpg?w=32&h=18&cc=1&q=75,1194,781.0,278.0,266.0,248.0,228.0,206
https://im.indiatimes.in/content/2022/Mar/Card-1_622b334b96d98.jpg?w=32&h=18&cc=1&q=75,1262,849.0,358.0,346.0,318.0,296.0,270
https://im.indiatimes.in/content/2022/Mar/The-hospital-has-a-staff-of-70-doctors-180-nursing-staff-and-60-support-staff-which-caters-to-700-900-patients-daily-in-their-outdoor-clinic_6239a75ca0e71.jpg?w=32&h=18&cc=1&q=75,1194,781.0,258.0,252.0,236.0,214.0,200
https://im.indiatimes.in/content/2021/Dec/AMP---2021-12-22T141136861_61c2e5b798d6c.jpg?w=32&h=18&cc=1&q=75,946,533.0,232.0,232.0,210.0,202.0,186
https://im.indiatimes.in/photogallery/2022/Mar/FBImage-copy_62389c52b3e81.jpg?w=32&h=18&cc=1&q=75,1257,844.0,346.0,334.0,304.0,290.0,258
https://im.indiatimes.in/photogallery/2022/Mar/kashmir-spring-blossom11_6232da7144243.jpg?w=32&h=18&cc=1&q=75,1140,727.0,192.0,184.0,178.0,160.0,144
https://im.indiatimes.in/photogallery/2022/Mar/fb_62331b3edbdc6.jpg?w=32&h=18&cc=1&q=75,1206,793.0,286.0,278.0,254.0,246.0,218
https://im.indiatimes.in/photogallery/2022/Mar/khalsa-aid-ukraine4_6228883337e1a.jpg?w=32&h=18&cc=1&q=75,1191,778.0,260.0,246.0,232.0,218.0,194
https://im.indiatimes.in/photogallery/2022/Mar/Divya--Varun_622702924ac7f.jpg?w=32&h=18&cc=1&q=75,1126,886.0,380.0,366.0,344.0,316.0,278
https://www.google-analytics.com/collect?v=1&_v=j96&a=1470807878&t=pageview&_s=1&dl=https%3A%2F%2Fwww.indiatimes.com%2F&ul=en-us&de=UTF-8&dt=Trending%20stories%20on%20Indian%20Lifestyle%2C%20Culture%2C%20Relationships%2C%20Food%2C%20Travel%2C%20Entertainment%2C%20News%20and%20New%20Technology%20News%20-%20Indiatimes.com&sd=24-bit&sr=1920x1080&vp=1829x933&je=0&_u=aGBAiEIhB~&jid=772714302&gjid=964714624&cid=472646012.1648194012&tid=UA-198011-6&_gid=1756695463.1648194012&cd8=&cd9=&cd10=&cd11=&z=2063225956,194,35.0,,,,,
