img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.instructure.com/,32019,199715.0,,,,,
https://www.instructure.com/themes/custom/themekit/logo.svg,1829,3274.0,,,,,
https://www.instructure.com/sites/default/files/styles/small_hq/public/image/2022-01/2022_K12Assessments_Uberflip_Thumbnail_1920x1080%20%281%29.jpg.webp?itok=18KsWtsg,24180,23392.0,18262.0,16942.0,12890.0,11748.0,10606
https://www.instructure.com/sites/default/files/styles/small_hq/public/image/2022-03/Replay%20Webinar%20-%20News%20and%20Event%20Videri%20Pilot%20Demo-%20Webinar-%20E-%20March%203-%202022%20%28520%20%C3%97%20294%20px%29.png.webp?itok=WYKq6K3a,15609,14824.0,12264.0,11698.0,9522.0,8546.0,7950
https://www.instructure.com/sites/default/files/styles/small_hq/public/image/2021-01/Instructure%20Careers%20.png.webp?itok=Ipu6BxUr,15193,14380.0,11756.0,11250.0,9264.0,8500.0,7866
https://www.instructure.com/themes/custom/themekit/dist/images/svg/search-red.svg,1175,817.0,,,,,
https://www.instructure.com/themes/custom/themekit/dist/images/svg/blobs/header-blob.svg,1399,1129.0,,,,,
https://www.instructure.com/themes/custom/themekit/dist/images/svg/canvas-logo.svg,1711,2878.0,,,,,
https://www.instructure.com/themes/custom/themekit/dist/images/svg/blobs/mid-blob-blue.svg,1507,1417.0,,,,,
https://www.instructure.com/themes/custom/themekit/dist/images/svg/instructure-logo.svg,1805,3274.0,,,,,
https://www.instructure.com/sites/default/files/image/2021-06/Clear.gif,801,42.0,,,,,
https://www.instructure.com/sites/default/files/styles/small_hq/public/oembed_thumbnails/ndEaQtrRZD3zAXd1J53nt_EDTqLhr8BWif6njMuTdIw.jpg.webp?itok=tkGXI_DE,14640,13836.0,10864.0,10108.0,8534.0,7810.0,7210
https://www.instructure.com/sites/default/files/styles/small_hq/public/image/2021-01/Canvas-Homepage-Feature-Tab-Hero-NEW.jpg.webp?itok=fN8e5fwv,59735,58944.0,41456.0,37134.0,28048.0,24302.0,21898
https://t.co/i/adsct?type=javascript&version=2.0.12&p_id=Twitter&p_user_id=0&txn_id=o1wf4&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=aa69314f-9ca4-48c6-a72a-b978193b60db&tw_document_href=https%3A%2F%2Fwww.instructure.com%2F,337,43.0,,,,,
https://www.facebook.com/tr/?id=613649908842349&ev=PageView&dl=https%3A%2F%2Fwww.instructure.com%2F&rl=&if=false&ts=1648155289064&sw=1920&sh=1080&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1648155289062.666658232&it=1648155288452&coo=false&exp=p1&rqm=GET,410,44.0,,,,,
https://www.google.com/ads/ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-9138420-54&cid=216057795.1648155289&jid=1821242034&_u=aEBAAEAAQAAAAC~&z=1764592576,501,42.0,,,,,
https://www.google.com.pk/ads/ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-9138420-54&cid=216057795.1648155289&jid=1821242034&_u=aEBAAEAAQAAAAC~&z=1764592576,501,42.0,,,,,
https://www.instructure.com/themes/custom/themekit/favicon.ico,3585,15086.0,,,,,
https://www.google-analytics.com/collect?v=1&_v=j96&a=1242178407&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.instructure.com%2F&ul=en-us&de=UTF-8&dt=Instructure%20%7C%20Educational%20Software%20Development&sd=24-bit&sr=1920x1080&vp=1829x933&je=0&ec=Client%20ID&ea=216057795.1648155289&el=%2F&_u=aHDAAEABQAAAAC~&jid=&gjid=&cid=216057795.1648155289&tid=UA-9138420-54&_gid=1965433585.1648155289&gtm=2wg3e0KMN72MJ&cd5=216057795.1648155289&z=1049401923,55,35.0,,,,,
https://fast.wistia.net/embed/medias/djpubd36an/swatch,3189,2739.0,,,,,
https://embedwistia-a.akamaihd.net/deliveries/990399cf4f0a6ef48331120133fc3ad0.webp?image_crop_resized=640x360,15698,15092.0,,,,,
pageTransferSize,2032746,,,,,,
totalByteWeight,7752013,,,,,,
