img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.mama.cn/,25392,133385.0,,,,,
https://static1.cdnmama.com/mama/images/default_small.jpg,4071,3883.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/202201/20220121/171657_23622_w750_h300.jpg,114919,114562.0,,,,,
https://static1.cdnmama.com/std/images/load.gif,192,43.0,,,,,
https://static1.cdnmama.com/std/images/new/logo.png?v=1,6508,6320.0,2988.0,2940.0,2882.0,2802.0,2736
https://static1.cdnmama.com/std/images/new/app.png,2083,1897.0,,,,,
https://static1.cdnmama.com/std/images/new/drop.png,1224,1038.0,,,,,
https://static1.cdnmama.com/std/mamawap/dist/common/images/dl-banner.png,8446,8250.0,10028.0,9742.0,9326.0,8844.0,8312
https://static1.cdnmama.com/std/mamawap/dist/common/images/dl-app-pregnancy.gif?v=1,193444,193039.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/202110/20211026/141351_88002_w330_h270.jpg,106332,105996.0,11558.0,10938.0,9826.0,8930.0,7916
https://pics.cdnmama.com/attachment/mamacn/images/201709/20170926/093556_91831_w158_h105.jpg,3983,3787.0,1080.0,992.0,886.0,772.0,676
https://pt-images2.cdnmama.com/admin/parentingknowledge/v55/mother/yingyangfayu/collect_img/12.jpg,3961,3231.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/201404/20140418/153033_22155.jpg,11762,11529.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/201404/20140418/183603_5735.jpg,21283,21065.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/201404/20140418/192346_9090.jpg,19363,19154.0,,,,,
https://pt-images2.cdnmama.com/admin/periodical/33985dc2c7cafedc233b6e43a7b21bc5_w750X340.jpg,47156,46301.0,14108.0,13302.0,11970.0,10518.0,9272
https://pt-images5.cdnmama.com/admin/periodical/7d00d83426ea3509993db32afd63514f_w750X340.jpg,55160,54306.0,18074.0,17218.0,15148.0,13678.0,12230
https://pt-images2.cdnmama.com/admin/periodical/75b6dc6f76d77187cac554cc7450f901_w750X340.jpg,39958,39126.0,8882.0,8452.0,7482.0,6766.0,6126
https://pt-images2.cdnmama.com/admin/periodical/3f475b7e314c7953eef6b30daa8b0888_w750X340.jpg,41494,40649.0,8968.0,8478.0,7432.0,6588.0,5800
https://pt-images4.cdnmama.com/admin/periodical/e230c7b44fa2e551c0fc6036f88eecbd_w750X340.JPG,68509,67640.0,24868.0,23402.0,20886.0,18824.0,16696
https://hm.baidu.com/hm.gif?si=f2babe867b10ece0ff53079ad6c04981&et=0&nv=1&st=3&lt=0&su=https%3A%2F%2Fwww.mama.cn%2F&v=wap-0-0.2&rnd=8657209783,636,43.0,,,,,
https://static1.cdnmama.com/std/mamawap/dist/common/images/logo.png,3823,3673.0,2988.0,2940.0,2882.0,2802.0,2736
https://static1.cdnmama.com/std/mamawap/dist/common/images/part1.png,2715,2530.0,1792.0,1758.0,1686.0,1604.0,1530
https://static1.cdnmama.com/std/mamawap/dist/common/images/part2.png,2293,2113.0,1218.0,1200.0,1130.0,1100.0,1064
https://static1.cdnmama.com/std/mamawap/dist/common/images/part3.png,2642,2328.0,1324.0,1282.0,1240.0,1180.0,1130
https://static1.cdnmama.com/std/mamawap/dist/common/images/part4.png,2532,2354.0,1418.0,1382.0,1314.0,1252.0,1206
https://static1.cdnmama.com/std/mamawap/dist/common/images/part5.png,2208,2054.0,1168.0,1146.0,1102.0,1066.0,1034
https://static1.cdnmama.com/std/mamawap/dist/common/images/part10.png,4118,3941.0,1222.0,1186.0,1134.0,1094.0,1048
https://static1.cdnmama.com/std/mamawap/dist/common/images/part7.png,2591,2414.0,1500.0,1454.0,1394.0,1328.0,1264
https://static1.cdnmama.com/std/mamawap/dist/common/images/part8.png?v=1,1932,1747.0,1264.0,1234.0,1168.0,1096.0,1040
https://static1.cdnmama.com/std/mamawap/dist/common/images/line.png,362,184.0,164.0,164.0,164.0,164.0,162
https://static1.cdnmama.com/std/mamawap/dist/common/images/num-one.png,921,707.0,516.0,504.0,496.0,480.0,464
https://static1.cdnmama.com/std/mamawap/dist/common/images/num-two.png,951,774.0,588.0,576.0,562.0,538.0,518
https://static1.cdnmama.com/std/mamawap/dist/common/images/num-three.png,997,820.0,604.0,598.0,578.0,554.0,528
https://static1.cdnmama.com/std/mamawap/dist/common/images/konw-title.png,1748,1597.0,1492.0,1432.0,1338.0,1230.0,1142
https://static1.cdnmama.com/std/mamawap/dist/common/images/title2.png,1170,1014.0,872.0,838.0,798.0,756.0,706
https://statis2.mama.cn/x.gif?siteid=606&r=https%3A%2F%2Fwww.mama.cn%2F&scr=1920x1080&si=7edc423f4d473dff8a92998d15aa3b6a&lg=en-us&rp=0&st=0&sinfid=0&sinpage=&ui=0&gi=0&fi=0&ti=0&rnd=1722917991,1228,1093.0,,,,,
https://pics.cdnmama.com/attachment/mamacn/images/202006/20200611/121014_56491_w750_h300.jpg,93200,92885.0,26124.0,24516.0,22076.0,19688.0,17282
https://pics.cdnmama.com/attachment/mamacn/images/202004/20200407/112503_53742_w750_h300.png,333230,332618.0,33816.0,32104.0,29170.0,26738.0,24058
https://pics.cdnmama.com/attachment/mamacn/images/202005/20200506/162343_76163_w750_h300.jpg,164371,163992.0,20910.0,19812.0,17902.0,16224.0,14392
https://m.mama.cn/favicon.ico,1345,1150.0,,,,,
pageTransferSize,1566271,,,,,,
totalByteWeight,2029429,,,,,,
