img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.microsoft.com/,113,0.0,,,,,
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31,4392,4054.0,1952.0,1954.0,1942.0,1932.0,1910
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWUuNl?ver=8047&q=0&m=8&h=600&w=1600&b=%23FFFFFFFF&l=f&x=67&y=336&s=2690&d=1009&aim=true,89605,89201.0,28738.0,27112.0,24764.0,22248.0,19452
https://www.microsoft.com/onerfstatics/marketingsites-eas-prod/_h/9be151e5/coreui.statics/images/1x1clear.gif,609,43.0,,,,,
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWLJ3u?ver=7dcf&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&x=755&y=404&aim=true,9857,9664.0,4352.0,4048.0,3572.0,3184.0,2820
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE4E4rT?ver=2072&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,8773,8550.0,7088.0,6858.0,6062.0,4918.0,4388
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWyG26?ver=8f21&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,6131,5918.0,5254.0,5008.0,4702.0,4114.0,3158
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWGaY8?ver=2545&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,10302,10078.0,5938.0,5444.0,4870.0,4486.0,4036
https://www.microsoft.com/onerfstatics/marketingsites-eas-prod/_h/2532198d/coreui.statics/images/social/facebook.svg,926,465.0,,,,,
https://www.microsoft.com/onerfstatics/marketingsites-eas-prod/_h/6f40299c/coreui.statics/images/social/twitter.svg,1062,835.0,,,,,
https://www.microsoft.com/onerfstatics/marketingsites-eas-prod/_h/413bd4a8/coreui.statics/images/social/linkedin.svg,915,472.0,,,,,
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWLSJa?ver=0450&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,5153,4970.0,4378.0,4172.0,3960.0,3374.0,2774
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE4rzE2?ver=aa0b&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,10706,10482.0,4028.0,3624.0,3064.0,2616.0,2254
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE3hD2k?ver=6539&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,18524,18312.0,11636.0,10374.0,9116.0,8328.0,7618
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/REGxSz?ver=5bf8&q=90&m=6&h=201&w=358&b=%23FFFFFFFF&l=f&o=t&aim=true,17472,17260.0,8892.0,8454.0,7798.0,7154.0,6020
https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE2OLdz?ver=d01f&q=0&m=8&h=600&w=1600&b=%23FFFFFFFF&l=f&x=0&y=232&s=1898&d=712&aim=true,41050,40784.0,37054.0,35710.0,33518.0,30580.0,25984
https://sync.mathtag.com/sync/img?mt_exid=10004&mt_exuid=76896552865930466903682276520153036385&redir=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D269%26dpuuid%3D[MM_UUID]%26ddsuuid%3d76896552865930466903682276520153036385,685,0.0,,,,,
https://dpm.demdex.net/ibs:dpid=411&dpuuid=YjzDrAAAAIIvaQPp,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=269&dpuuid=9e33623c-c3ac-4400-a09b-f29d40b0bd6f&ddsuuid=76896552865930466903682276520153036385,945,42.0,,,,,
https://idpix.media6degrees.com/orbserv/hbpix?pixId=16873&pcv=70&ptid=66&tpuv=01&tpu=76896552865930466903682276520153036385,278,43.0,,,,,
https://analytics.twitter.com/i/adsct?p_user_id=76896552865930466903682276520153036385&p_id=38594,353,43.0,,,,,
https://dpm.demdex.net/ibs:dpid=477&dpuuid=c66e152999e230d42b75f99ade9494cfb5e8fe3562200baf1a32bbaa4872cbf2b0da87c991749652,945,42.0,,,,,
https://pixel.quantserve.com/pixel/p-vj4AYjBqd6VJ2.gif?idmatch=0&gdpr=0&gdpr_consent=,372,35.0,,,,,
https://dpm.demdex.net/ibs:dpid=771&dpuuid=CAESEBcv2li5z5oAEgf7RWHGOKU&google_cver=1?gdpr=0&gdpr_consent=,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=903&dpuuid=69bb0233-b786-41f0-aecb-acf292922c6a,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=1957&dpuuid=3DCA2FFF88EC6F5C0FD63E8E89376E7D,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=30646?dpuuid=y-DAgS9ilE2pE7mifZofbbzYIonxjA8.N7dx8-~A,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=1121&dpuuid=1991787312554426962,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=22054,959,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=53196&dpuuid=Q7014358211175682185,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=358&dpuuid=6824377649010665631,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=38117&dpuuid=7bd4b4cd-aee0-4a42-916b-e1d5df10811e,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=49276&dpuuid=ee1b042f-f8d9-4d1b-bf34-ad7c8b8ca9dc,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=72352&dpuuid=2962306972341215923245&gdpr=0&gdpr_consent=,945,42.0,,,,,
https://dpm.demdex.net/ibs:dpid=121998&dpuuid=7485f7fd9d0b5e6225e9458c489658d6,951,42.0,,,,,
