img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.nih.gov/,16444,69030.0,,,,,
https://www.nih.gov/sites/all/themes/nih/images/nih-logo-color.png,10492,9979.0,7952.0,7918.0,7886.0,7760.0,7738
https://www.nih.gov/sites/default/files/styles/slide_breakpoint-large-extra/public/home_0/slides/current/slide-ndafw-2021.jpg?itok=KAG9GcHz&timestamp=1646399260,68722,68208.0,35652.0,33934.0,30814.0,27832.0,24168
https://www.nih.gov/sites/default/files/styles/slide_breakpoint-large-extra/public/home_0/slides/current/slide-alzheimers_0.jpg?itok=wncxv8k9&timestamp=1647260535,62547,62033.0,29134.0,27474.0,24112.0,21064.0,18566
https://www.nih.gov/sites/default/files/styles/slide_breakpoint-large-extra/public/home_0/slides/current/slide-women-in-science.jpg?itok=6j5PJv-q&timestamp=1645022634,47647,47133.0,22216.0,21048.0,18826.0,16910.0,14720
https://www.nih.gov/sites/default/files/styles/slide_breakpoint-large-extra/public/home_0/slides/current/newfile.jpg?itok=vUBpIOcx&timestamp=1646399211,40397,39883.0,14556.0,13758.0,12498.0,11272.0,10074
https://www.nih.gov/sites/default/files/styles/slide_breakpoint-large-extra/public/home_0/slides/current/slide-RM-2022.jpg?itok=zEbidPME&timestamp=1646399232,122826,122311.0,76198.0,73516.0,65682.0,58808.0,51202
https://www.nih.gov/sites/default/files/styles/landing_teaser_breakpoint-large/public/home_0/itn/current/20220322-diabetes.jpg?itok=ktM_Jp9L&timestamp=1647966765,14315,13801.0,8766.0,8314.0,7290.0,6494.0,5690
https://www.nih.gov/sites/default/files/styles/landing_teaser_breakpoint-large/public/home_0/itn/current/20220308-covid.jpg?itok=Q58CYu-a&timestamp=1646772605,31541,31027.0,26412.0,25136.0,23076.0,21058.0,19078
https://www.nih.gov/sites/default/files/styles/landing_teaser_breakpoint-large/public/home_0/itn/current/20220322-addiction.jpg?itok=tsQ2kcPN&timestamp=1647963019,9090,8577.0,4508.0,4210.0,3670.0,3180.0,2698
https://www.nih.gov/sites/default/files/styles/landing_teaser_breakpoint-large/public/home_0/itn/current/20220315-kidney.jpg?itok=2Fj4iKd9&timestamp=1647374181,14544,14030.0,9332.0,8774.0,7856.0,6926.0,6000
https://www.nih.gov/sites/default/files/styles/thumbnail/public/home_0/at-a-glance/nih-at-a-glance-whoweare.jpg?itok=cDJSq9lF,8216,7703.0,4512.0,4244.0,3930.0,3566.0,3168
https://www.nih.gov/sites/default/files/styles/thumbnail/public/about-nih/nih-director/lawrence-tabak-portrait-thumbnail.jpg?itok=89vo1PxE,6540,6027.0,2968.0,2798.0,2512.0,2224.0,1928
https://www.nih.gov/sites/default/files/styles/thumbnail/public/home_0/at-a-glance/nih-at-a-glance-funding.jpg?itok=8s0rOmpa,10045,9532.0,6124.0,5844.0,5188.0,4670.0,4118
https://www.nih.gov/sites/default/files/styles/thumbnail/public/home_0/at-a-glance/nih-at-a-glance-labs.jpg?itok=HFyWgTQv,11327,10813.0,7238.0,6904.0,6288.0,5698.0,4984
https://www.nih.gov/sites/default/files/styles/thumbnail/public/home_0/at-a-glance/nih-at-a-glance-training.jpg?itok=3lxzN4AE,10827,10313.0,6630.0,6346.0,5734.0,5170.0,4508
https://www.nih.gov/sites/default/files/styles/thumbnail/public/about-nih/researcher-holding-petri-dish.jpg?itok=af4KZKn0,8831,8318.0,4716.0,4428.0,4018.0,3638.0,3206
https://www.nih.gov/sites/all/themes/nih/images/generated/icons-s8044ee1c9c.png,40269,39755.0,16122.0,15740.0,15152.0,14628.0,13912
https://www.nih.gov/sites/all/modules/contrib/extlink/images/extlink_s.png,665,153.0,200.0,198.0,198.0,186.0,184
https://www.nih.gov/favicon.ico,1666,1150.0,,,,,
pageTransferSize,925549,,,,,,
totalByteWeight,1755319,,,,,,
