img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.padlet.com/,97,0.0,,,,,
https://certify.alexametrics.com/atrk.gif?frame_height=980&frame_width=1844&iframe=0&title=Padlet%3A%20You%20are%20beautiful&time=1648192566308&time_zone_offset=-300&screen_params=1920x1080x24&java_enabled=0&cookie_enabled=1&ref_url=&host_url=https%3A%2F%2Fpadlet.com%2F&random_number=4866044011&sess_cookie=6a1cc4ba17fbfeeb422f6bda7a4&sess_cookie_flag=1&user_cookie=6a1cc4ba17fbfeeb422f6bda7a4&user_cookie_flag=1&dynamic=true&domain=padlet.com&account=4vU8j1a8Dy00yS&jsv=20130128&user_lang=en-US,552,43.0,,,,,
https://padlet.net/packs/media/images/dot_grid_light-5d6d47a89e5b41eabe52b8eba961c929.png,956,66.0,188.0,188.0,188.0,186.0,188
https://padlet.net/packs/media/images/padlet_logo_black-b637f7a60bd79c21c564054f17ac6b9b.svg,1357,1228.0,,,,,
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_240%2Cw_454&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Fgrid_preview_landscape-60bc7a7cee78b9fc564fecc337d3ba42.png,11100,10776.0,10070.0,9610.0,8974.0,8290.0,6266
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_240%2Cw_454&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Ffree_preview_landscape-cda6727dd18c5b4cf0c3d0257311bca1.png,7666,7566.0,6928.0,6576.0,6192.0,5380.0,3976
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_240%2Cw_454&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Fshelf_preview_landscape-164cf6bbae0aec4cea3afa922de673a4.png,5712,5606.0,5112.0,5000.0,4728.0,4164.0,3202
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_180%2Cw_335&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Fstream_preview_landscape-bd4a4ea9a7fd9f12a4793a8bdaf25f1a.png,2849,2718.0,2414.0,2264.0,2110.0,1838.0,1462
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_180%2Cw_335&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Fmatrix_preview_landscape-5da4777e5cab859073dbbc1aa580ce1e.png,5866,5754.0,5210.0,4970.0,4618.0,4202.0,3304
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_180%2Cw_335&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Ftimeline_preview_landscape-ac5b845c2aa14bbe40154fc85e663395.png,4319,4212.0,3810.0,3612.0,3448.0,2952.0,2352
https://v1.padlet.pics/1/image.webp?t=c_limit%2Cdpr_1%2Ch_180%2Cw_335&url=https%3A%2F%2Fpadlet.net%2Fpacks%2Fmedia%2Fimages%2Fmap_preview_landscape-07b7144e84dd51ac5ea6f972b66bc4cd.png,2921,2618.0,2370.0,2294.0,2158.0,1846.0,1474
https://padlet.net/assets/favicon-77f5dfc8f2a1cedf897af74e7ad6bacac872efec784e4c1dc1aec764c88de40a.png,1786,868.0,,,,,
https://padlet.com/apple-touch-icon.png,3864,3280.0,,,,,
pageTransferSize,827030,,,,,,
totalByteWeight,1645404,,,,,,
