img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.walmart.com/,48047,222462.0,,,,,
https://i5.walmartimages.com/dfw/63fd9f59-b3e1/7a569e53-f29a-4c3d-bfaf-6f7a158bfadd/v1/walmartLogo.svg,1905,3052.0,,,,,
https://i5.walmartimages.com/dfw/4ff9c6c9-ff9c/k2-_e68dcc9f-e969-4357-9cbf-55d91722037b.v1.jpg,313738,312897.0,,,,,
https://i5.walmartimages.com/dfw/4ff9c6c9-78af/k2-_aec260f5-8735-473c-97cb-707660107b8f.v1.jpg,210548,209823.0,60130.0,56616.0,50094.0,43236.0,37006
https://i5.walmartimages.com/dfw/4ff9c6c9-6b9a/k2-_18821878-ea84-4a3f-b377-4cec53ab53b9.v1.jpg,235206,234431.0,57808.0,53322.0,47020.0,41506.0,35742
https://i5.walmartimages.com/dfw/4ff9c6c9-a32f/k2-_8fa052a0-8f31-475b-aee5-fa72eb40f99a.v1.jpg,158048,157378.0,24868.0,23654.0,21754.0,19910.0,17986
https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-white.svg,2143,3937.0,,,,,
https://i5.walmartimages.com/dfw/4ff9c6c9-64d0/k2-_f0d316e7-25a9-4436-a60d-2efd62702aa3.v1.png?odnHeight=90&odnWidth=90&odnBg=FFFFFF,3023,2441.0,666.0,632.0,592.0,544.0,476
https://i5.walmartimages.com/dfw/4ff9c6c9-15ce/k2-_ad628e1a-53e3-4f61-9359-a2660f4792af.v1.png?odnHeight=90&odnWidth=90&odnBg=FFFFFF,3597,3015.0,828.0,778.0,710.0,652.0,580
https://i5.walmartimages.com/dfw/4ff9c6c9-7115/k2-_72d8477e-8b41-404f-b891-c6ee5b6e68ff.v1.png?odnHeight=90&odnWidth=90&odnBg=FFFFFF,2827,2245.0,650.0,628.0,568.0,552.0,482
https://i5.walmartimages.com/asr/166b19c2-1a78-4f0c-82ef-9796f233add1.b7151dea94f57628f14c682a3f8d7ec9.jpeg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,4216,3463.0,1630.0,1582.0,1418.0,1290.0,1150
https://i5.walmartimages.com/asr/f822caaf-0e75-41dd-bcbf-ebf3d6792809.09e09eac4921a7f75e43a694ef38c9fa.jpeg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,4878,4128.0,,,,,
https://i5.walmartimages.com/asr/b8e2ce2f-0ea0-45cf-a53a-3cd4f7daf07c_1.305239225758b0692e6087b9cd349abd.jpeg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,3782,3001.0,,,,,
https://i5.walmartimages.com/asr/b6a6d478-5686-47fe-9013-50923a9bca8f.17b4240b9340a9fc96ce10264853576b.jpeg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,3762,3012.0,1082.0,1016.0,910.0,832.0,752
https://i5.walmartimages.com/dfw/4ff9c6c9-7e5c/k2-_b05946b7-f6da-4808-8f23-3015552d59e8.v1.jpg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,3906,3322.0,1570.0,1520.0,1356.0,1230.0,1100
https://i5.walmartimages.com/dfw/4ff9c6c9-6682/k2-_f862496a-ee5d-491f-ac9d-bba65f87f1b9.v1.jpg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,3814,3229.0,1536.0,1458.0,1318.0,1198.0,1058
https://i5.walmartimages.com/dfw/4ff9c6c9-dc7a/k2-_9e02e04f-7519-461d-b376-f12172a5b1a0.v1.jpg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,3791,3206.0,1274.0,1192.0,1096.0,982.0,880
https://i5.walmartimages.com/dfw/4ff9c6c9-6684/k2-_b7f4ad88-60c6-4a83-a826-eea5941826a1.v1.jpg?odnHeight=112&odnWidth=112&odnBg=FFFFFF,4330,3746.0,1776.0,1688.0,1530.0,1410.0,1248
https://i5.walmartimages.com/dfw/4ff9c6c9-5fc9/k2-_9cb6bf0a-2392-4dc9-8fa1-4f2b59b952cc.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,7146,6561.0,2318.0,2170.0,1988.0,1790.0,1624
https://i5.walmartimages.com/dfw/4ff9c6c9-2840/k2-_93cd03d9-e298-46f8-86b2-99e7bec5d9c3.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,14394,13800.0,6896.0,6588.0,5918.0,5402.0,4768
https://i5.walmartimages.com/dfw/4ff9c6c9-aee1/k2-_cb3692ba-7556-4f2b-8419-61a6b050a18b.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,11399,10805.0,3852.0,3638.0,3226.0,2900.0,2536
https://i5.walmartimages.com/dfw/4ff9c6c9-365c/k2-_5aed56c5-4609-482b-9a02-1d289bdb4ea7.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,14399,13804.0,6446.0,6072.0,5492.0,4944.0,4308
https://i5.walmartimages.com/dfw/4ff9c6c9-5afe/k2-_ec4daa08-6a7c-49af-996d-491cb24380ef.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,11611,11017.0,4876.0,4592.0,4128.0,3698.0,3230
https://i5.walmartimages.com/dfw/4ff9c6c9-1463/k2-_6026b6c2-e5f8-45a2-9c1a-96fc026a4d6e.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,11938,11344.0,5520.0,5226.0,4816.0,4318.0,3762
https://i5.walmartimages.com/dfw/4ff9c6c9-fe41/k2-_4da0f9b7-100b-4838-a9d5-0f0f6ce8ffa2.v1.jpg?odnHeight=290&odnWidth=290&odnBg=FFFFFF,9635,9041.0,3938.0,3778.0,3446.0,3146.0,2776
https://tpc.googlesyndication.com/simgad/13270147923435340916?,750,174.0,150.0,142.0,142.0,132.0,124
https://www.facebook.com/tr?id=168539446845503&ev=PageView&ud[external_id]=NMdvRLAYUduzHag7cWBHJt3FSZQJQECjnc1QCqorCEk,411,44.0,,,,,
https://c.bing.com/c.gif?vid=NMdvRLAYUduzHag7cWBHJt3FSZQJQECjnc1QCqorCEk&Red3=BACID_5074003,596,42.0,,,,,
https://ct.pinterest.com/v3/?tid=2613085986650&event=PageView&ed[page_url]=https%3A%2F%2Fwww.walmart.com%2F&noscript=1,578,35.0,,,,,
https://sp.analytics.yahoo.com/spp.pl?a=10000&.yp=10146637&ec=landingpage&pageurl=https%3A%2F%2Fwww.walmart.com%2F,717,43.0,,,,,
