img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.wix.com/,102528,579261.0,,,,,
%F0%9F%87%BA%F0%9F%87%A6.png,1480,1078.0,592.0,582.0,556.0,524.0,502
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,1192,790.0,5448.0,5350.0,4988.0,4962.0,4796
desktop.png,18446,18026.0,41014.0,39822.0,36894.0,34414.0,31838
311dce_3945bf5d06e344c4a70b134fd3dc46d3~mv2.jpg,1205,804.0,1708.0,1708.0,1710.0,1710.0,1736
Template%20Copy.png,8310,7908.0,23102.0,22270.0,20680.0,19158.0,17446
T01%20COPY.png,6568,6164.0,9324.0,9068.0,8314.0,7716.0,6976
T02%20Copy.png,6684,6280.0,12126.0,11500.0,10660.0,9770.0,8736
444%20(1).png,5963,5562.0,7036.0,6712.0,6230.0,5794.0,5332
T04%20Copy.png,6338,5934.0,7098.0,6824.0,6262.0,5662.0,5240
T05%20Copy.png,4148,3744.0,6928.0,6696.0,6162.0,5732.0,5260
T06%20Copy.png,6489,6086.0,11532.0,10944.0,10114.0,9230.0,8268
editor.png,20302,19880.0,17018.0,16150.0,14432.0,12820.0,11302
adi.png,6646,6246.0,5678.0,5430.0,5016.0,4610.0,4216
Vibrant%20photo%20of%20plants%20floats%20over%20IDE%20.jpg,2056,1654.0,12384.0,11852.0,11178.0,10090.0,7908
store.png,5783,5382.0,6190.0,5968.0,5566.0,5216.0,4806
blog.png,10114,9702.0,8658.0,8400.0,7720.0,7120.0,6494
domain.png,6774,6372.0,8022.0,7734.0,7106.0,6438.0,5846
bookings.png,13779,13366.0,13840.0,13288.0,11980.0,10970.0,9996
logo.png,6714,6312.0,4396.0,4186.0,3834.0,3442.0,3074
seo.png,10062,9652.0,12414.0,11774.0,10436.0,9468.0,8386
1f4e5a_4a9994cf7cbe44aba5deba197d95f827~mv2_d_1924_1924_s_2.jpg,3379,2976.0,79900.0,71626.0,60972.0,54994.0,50026
An%20online%20store%20for%20designer%20sunglasses_.png,4282,3878.0,5836.0,5632.0,5236.0,4798.0,4372
How%20to%20Create%20an%20Authentic%20Brand%20Identit.png,4378,3976.0,4086.0,3862.0,3572.0,3262.0,2940
Best%20Portfolio%20Websites%20to%20Fuel%20Your%20Ins.png,6081,5680.0,6690.0,6316.0,5814.0,5330.0,4828
Artboard%20Copy%2019.png,4740,4338.0,6412.0,6206.0,5746.0,5298.0,4808
0fdef751204647a3bbd7eaa2827ed4f9.png,848,448.0,,,,,
c7d035ba85f6486680c2facedecdcf4d.png,902,502.0,,,,,
78aa2057f0cb42fbbaffcbc36280a64a.png,909,512.0,,,,,
8f6f59264a094af0b46e9f6c77dff83e.png,897,494.0,,,,,
01c3aff52f2a4dffa526d7a9843d46ea.png,849,448.0,,,,,
6ea5b4a88f0b4f91945b40499aa0af00.png,866,468.0,,,,,
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,394,0.0,5448.0,5350.0,4988.0,4962.0,4796
%F0%9F%87%BA%F0%9F%87%A6.png,1617,1216.0,592.0,582.0,556.0,524.0,502
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,9094,8684.0,5448.0,5350.0,4988.0,4962.0,4796
desktop.png,384348,383532.0,41014.0,39822.0,36894.0,34414.0,31838
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,477,0.0,5448.0,5350.0,4988.0,4962.0,4796
favicon.ico,1449,1061.0,,,,,
311dce_b91a7b8c8d354b9591174f9ef692168c~mv2.jpg,480,0.0,5448.0,5350.0,4988.0,4962.0,4796
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-H314XQHSPY&cid=976993883.1648201570&gtm=2oe3e0&aip=1&z=1567203238,501,42.0,,,,,
?random=1493881132&cv=9&fst=1648201569663&num=1&value=0&label=Jza8CKKX8MgBEIX-keAD&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u,864,0.0,,,,,
?tid=2615884535838&pd=%7B%22np%22%3A%22gtm%22%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.wix.com%2F%22%2C%22ref%22%3A%22%22%2C%22if%22%3Afalse%2C%22sh%22%3A1080%2C%22sw%22%3A1920%2C%22mh%22%,332,35.0,,,,,
?event=pagevisit&ed=%7B%22np%22%3A%22gtm%22%7D&tid=2615884535838&pd=%7B%22np%22%3A%22gtm%22%7D&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.wix.com%2F%22%2C%22ref%22%3A%22%22%2C%22if%22%3Afalse%2C%22sh%22%3,580,35.0,,,,,
pblc?src=19&evid=5&_=0.8372764555892285,152,43.0,,,,,
collect?v=1&_v=j96&a=879680029&t=pageview&_s=1&dl=https%3A%2F%2Fwww.wix.com%2F&ul=en-us&de=UTF-8&dt=Free%20Website%20Builder%20%7C%20Create%20a%20Free%20Website%20%7C%20Wix.com&sd=24-bit&sr=1920x1080&,55,35.0,,,,,
?id=704136006388169&ev=PageView&dl=https%3A%2F%2Fwww.wix.com%2F&rl=&if=false&ts=1648201579111&sw=1920&sh=1080&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1648201579108.676689051&it=1648201578854&coo=false&ex,410,44.0,,,,,
?id=704136006388169&ev=Microdata&dl=https%3A%2F%2Fwww.wix.com%2F&rl=&if=false&ts=1648201579619&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Free%20Website%20Builder%20%7C%20Create%20a%20Free%20We,91,44.0,,,,,
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=7e1f6163-afd7-4c9e-a86f-055931145d51&_expected_cookie=f18d0630b811e5a93e593de15952add0,142,43.0,,,,,
?random=1493881132&cv=9&fst=1648201569663&num=1&value=0&label=Jza8CKKX8MgBEIX-keAD&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u,648,0.0,,,,,
?random=1648201569658&cv=9&fst=1648198800000&num=1&label=_2AsCJvP16cBEP6d24YD&bg=ffffff&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&gtm=2wg3,108,42.0,,,,,
?random=1648201569658&cv=9&fst=1648198800000&num=1&label=_2AsCJvP16cBEP6d24YD&bg=ffffff&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&gtm=2wg3,64,42.0,,,,,
?random=1648201569668&cv=9&fst=1648198800000&num=1&label=7C_FCLqootIBEP7clrIC&bg=ffffff&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&gtm=2wg3,548,42.0,,,,,
?random=1648201569668&cv=9&fst=1648198800000&num=1&label=7C_FCLqootIBEP7clrIC&bg=ffffff&guid=ON&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=5&u_nmime=2&gtm=2wg3,64,42.0,,,,,
?random=1493881132&cv=9&fst=1648201569663&num=1&value=0&label=Jza8CKKX8MgBEIX-keAD&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=1080&u_w=1920&u_ah=1053&u_aw=1844&u_cd=24&u_his=2&u_tz=300&u_java=false&u,64,42.0,,,,,
pageTransferSize,2033992,,,,,,
totalByteWeight,4885918,,,,,,
