img,imgTransferSize,imgActualSize,q-75,q-70,q-60,q-50,q-40
https://www.youtube.com/,60703,666065.0,,,,,
https://www.youtube.com/s/desktop/8d3f0079/img/favicon.ico,181,1150.0,,,,,
https://www.google.com/pagead/lvz?evtid=AKB78cjVlhRK_FHdDqLEjaELh1HpyE3suNDtfQVDdrTAgf8wzUUd6yyfD0uLlzPxgW4FBcTbDBN_2We4jgZ6tZr5HTSH0RRwsw&req_ts=1648147115&pg=MainAppBootstrap%3AHome&az=1&sigh=AKFpyYUE1UjAQIO8IhVQaeZL_WD4_OY7lg,765,42.0,,,,,
https://www.google.com.pk/pagead/lvz?evtid=AKB78cjVlhRK_FHdDqLEjaELh1HpyE3suNDtfQVDdrTAgf8wzUUd6yyfD0uLlzPxgW4FBcTbDBN_2We4jgZ6tZr5HTSH0RRwsw&req_ts=1648147115&pg=MainAppBootstrap%3AHome&az=1&sigh=AKFpyYUE1UjAQIO8IhVQaeZL_WD4_OY7lg,768,42.0,,,,,
https://i.ytimg.com/vi/-4dtjKFqEEE/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdVyeLPDjysOIOKGSYPsKaChxYjA,34873,34842.0,27580.0,25014.0,21832.0,19202.0,17512
https://yt3.ggpht.com/9P3coj6Xx6KEIaJs2q610XH2g9SADSlePXRbDgbxPBZHUFq6JgWB4gXLelZfpiR5QpyJmAyn=s88-c-k-c0x00ffffff-no-rj,6750,6660.0,3196.0,3086.0,2842.0,2602.0,2294
https://i.ytimg.com/vi/38IEolI8f-w/hq720_live.jpg?sqp=CNTz8pEG-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIKuPLJYwha20SMomx1yXYlRG-3Q,47214,47184.0,35144.0,31812.0,25394.0,22764.0,20762
https://yt3.ggpht.com/Lwr3mKZG48w7KCkQEvw4s-A_1tspPV-Kyn7UCB3wOccUvKAT7OKzz2wVUXlNbMm9cihFbPMiQg=s68-c-k-c0x00ffffff-no-rj,2753,2662.0,1040.0,1000.0,908.0,848.0,768
https://i.ytimg.com/vi/hPvJ4VfrR9A/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbxnb-cs7XoPZ1yc9ekhRewFAAdA,101887,101846.0,80294.0,75532.0,65090.0,53840.0,46746
https://yt3.ggpht.com/FgbtkGwsDHrxUval9Jrqt_K26GxsHwgrhd0QO1bMPuW2Q0w7KkPeZfP1L0o15xdeeKQTnSx3ig=s68-c-k-c0x00ffffff-no-rj,2490,2399.0,802.0,760.0,684.0,632.0,576
https://i.ytimg.com/vi/FrdlLPzVzxc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzzzJ1bzTCHC22kKk5Udg9RPtLgw,86774,86736.0,,,,,
